line,Familiar_diet,diet,rep,day,weight_g,weight,ln_weight_g
A,FW,FW,3,8,0.296226,296.226,-1.216632602
B,FW,FW,1,8,0.287103,287.103,-1.247914243
B,FW,FW,2,8,0.232197,232.197,-1.46016913
B,FW,FW,3,8,0.252386,252.386,-1.376795617
D,FW,FW,1,8,0.303923,303.923,-1.190980899
D,FW,FW,2,8,0.265773,265.773,-1.325112718
D,FW,FW,3,8,0.253564,253.564,-1.372139022
WT_1,FW,FW,1,8,0.295628,295.628,-1.218653372
WT_1,FW,FW,2,8,0.278752,278.752,-1.277432781
WT_1,FW,FW,3,8,0.296102,296.102,-1.217051289
C,FW,FW,1,8,0.252857,252.857,-1.374931167
C,FW,FW,2,8,0.216434,216.434,-1.530469628
C,FW,FW,3,8,0.252946,252.946,-1.374579252
E,FW,FW,1,8,0.266118,266.118,-1.32381546
E,FW,FW,2,8,0.263813,263.813,-1.33251476
E,FW,FW,3,8,0.283524,283.524,-1.260458503
WT_2,CF,FW,1,8,0.286364,286.364,-1.25049155
WT_2,CF,FW,2,8,0.25886,258.86,-1.351467904
WT_2,CF,FW,3,8,0.249519,249.519,-1.388220214
SW,CF,FW,1,8,0.234383,234.383,-1.45079875
SW,CF,FW,2,8,0.236427,236.427,-1.442115787
SW,CF,FW,3,8,0.253632,253.632,-1.371870881
A,FW,FW,1,10,0.302492,302.492,-1.195700448
A,FW,FW,2,10,0.30454,304.54,-1.188952838
A,FW,FW,3,10,0.295868,295.868,-1.21784187
B,FW,FW,1,10,0.318632,318.632,-1.143718447
B,FW,FW,2,10,0.283374,283.374,-1.260987699
B,FW,FW,3,10,0.291371,291.371,-1.23315791
D,FW,FW,1,10,0.34231,342.31,-1.07203852
D,FW,FW,2,10,0.300431,300.431,-1.202537169
D,FW,FW,3,10,0.287966,287.966,-1.244912861
WT_1,FW,FW,1,10,0.320877,320.877,-1.136697407
WT_1,FW,FW,2,10,0.3513,351.3,-1.04611472
WT_1,FW,FW,3,10,0.331435,331.435,-1.104323567
C,FW,FW,1,10,0.290886,290.886,-1.234823841
C,FW,FW,2,10,0.276226,276.226,-1.286535908
C,FW,FW,3,10,0.309945,309.945,-1.171360417
E,FW,FW,1,10,0.306726,306.726,-1.181800438
E,FW,FW,2,10,0.282047,282.047,-1.265681555
E,FW,FW,3,10,0.312676,312.676,-1.162587768
WT_2,CF,FW,1,10,0.301018,301.018,-1.200585215
WT_2,CF,FW,2,10,0.288217,288.217,-1.24404161
WT_2,CF,FW,3,10,0.297257,297.257,-1.213158194
SW,CF,FW,1,10,0.265137,265.137,-1.327508605
SW,CF,FW,2,10,0.231917,231.917,-1.46137573
SW,CF,FW,3,10,0.255891,255.891,-1.363003706
A,FW,FW,1,12,0.319827,319.827,-1.139975054
A,FW,FW,2,12,0.309165,309.165,-1.173880164
A,FW,FW,3,12,0.349484,349.484,-1.051297498
B,FW,FW,1,12,0.328645,328.645,-1.112777138
B,FW,FW,2,12,0.293793,293.793,-1.224879841
B,FW,FW,3,12,0.32607,326.07,-1.120643197
D,FW,FW,1,12,0.347501,347.501,-1.056987736
D,FW,FW,2,12,0.322829,322.829,-1.130632508
D,FW,FW,3,12,0.334685,334.685,-1.094565488
WT_1,FW,FW,1,12,0.32457,324.57,-1.12525405
WT_1,FW,FW,2,12,0.331192,331.192,-1.105057011
WT_1,FW,FW,3,12,0.3588,358.8,-1.024990149
C,FW,FW,1,12,0.314582,314.582,-1.156510506
C,FW,FW,2,12,0.320433,320.433,-1.138082073
C,FW,FW,3,12,0.32293,322.93,-1.130319698
E,FW,FW,1,12,0.311362,311.362,-1.166799057
E,FW,FW,2,12,0.32304,323.04,-1.129979124
E,FW,FW,3,12,0.330446,330.446,-1.107312022
WT_2,CF,FW,1,12,0.287469,287.469,-1.246640251
WT_2,CF,FW,2,12,0.34417,344.17,-1.066619558
WT_2,CF,FW,3,12,0.315827,315.827,-1.152560684
SW,CF,FW,1,12,0.275068,275.068,-1.290736939
SW,CF,FW,2,12,0.262693,262.693,-1.336769229
SW,CF,FW,3,12,0.260167,260.167,-1.346431546
A,FW,FW,1,14,0.335084,335.084,-1.093374032
A,FW,FW,2,14,0.326269,326.269,-1.120033084
A,FW,FW,3,14,0.327368,327.368,-1.116670359
B,FW,FW,1,14,0.320698,320.698,-1.137255409
B,FW,FW,2,14,0.316681,316.681,-1.149860321
B,FW,FW,3,14,0.302572,302.572,-1.195436013
D,FW,FW,1,14,0.324588,324.588,-1.125198593
D,FW,FW,2,14,0.295715,295.715,-1.218359126
D,FW,FW,3,14,0.306781,306.781,-1.181621141
WT_1,FW,FW,1,14,0.285551,285.551,-1.253334632
WT_1,FW,FW,2,14,0.338927,338.927,-1.081970534
WT_1,FW,FW,3,14,0.349041,349.041,-1.052565885
C,FW,FW,1,14,0.319734,319.734,-1.140265879
C,FW,FW,2,14,0.316546,316.546,-1.150286708
C,FW,FW,3,14,0.300099,300.099,-1.203642859
E,FW,FW,1,14,0.326406,326.406,-1.119613274
E,FW,FW,2,14,0.325333,325.333,-1.122906006
E,FW,FW,3,14,0.324299,324.299,-1.126089349
WT_2,CF,FW,1,14,0.303604,303.604,-1.192031058
WT_2,CF,FW,2,14,0.315899,315.899,-1.152332737
WT_2,CF,FW,3,14,0.3472,347.2,-1.057854296
SW,CF,FW,1,14,0.264745,264.745,-1.32898818
SW,CF,FW,2,14,0.301708,301.708,-1.198295617
SW,CF,FW,3,14,0.256216,256.216,-1.36173444
