ID,Container_ID,Familiar_diet,Genetic_line,Treatment,Sex,Replicate,List,Body weight,bw,Head width,Scutum length,ow,ow_g,ag,ag_g,tw,tw_g,lg_bw,lg_ow,lg_tw,lg_ag,GSI,ag_gonad_ratio,Operator
SWS_CF3_07,SW_CF_3,CF,SW,CF,M,3,b,0.0761,76.1,55,78,,,2.05,0.00205,1.65,0.00165,1.881384657,,0.217483944,0.311753861,0.021681997,1.242424242,Y
SWS_CF3_08,SW_CF_3,CF,SW,CF,M,3,c,0.04567,45.67,51,78,,,2.01,0.00201,1.51,0.00151,1.659631012,,0.178976947,0.303196057,0.03306328,1.331125828,Y
SWS_CF3_09,SW_CF_3,CF,SW,CF,M,3,d,0.07091,70.91,51,73,,,2.94,0.00294,1.46,0.00146,1.850707485,,0.164352856,0.46834733,0.02058948,2.01369863,Y
SWS_CF3_18,SW_CF_3,CF,SW,CF,M,3,e,0.06978,69.78,55,80,,,2.16,0.00216,1.14,0.00114,1.843730965,,0.056904851,0.334453751,0.016337059,1.894736842,Y
SWS_CF3_24,SW_CF_3,CF,SW,CF,M,3,f,0.06701,67.01,54,81,,,2.3,0.0023,1.3,0.0013,1.826139618,,0.113943352,0.361727836,0.01940009,1.769230769,Y
SWS_CF3_35,SW_CF_3,CF,SW,CF,M,3,g,0.05339,53.39,50,72,,,1.81,0.00181,1.12,0.00112,1.727459921,,0.049218023,0.257678575,0.020977711,1.616071429,Y
SWS_CF3_36,SW_CF_3,CF,SW,CF,M,3,h,0.05639,56.39,51,73,,,1.42,0.00142,1.32,0.00132,1.751202095,,0.120573931,0.152288344,0.023408406,1.075757576,Y
SWS_CF3_38,SW_CF_3,CF,SW,CF,M,3,j,0.04945,49.45,51,70,,,2.16,0.00216,1.08,0.00108,1.694166296,,0.033423755,0.334453751,0.021840243,2,Y
SWS_CF3_10,SW_CF_3,CF,SW,CF,M,3,k,0.04071,40.71,50,69,,,2.48,0.00248,1.96,0.00196,1.609701102,,0.292256071,0.394451681,0.048145419,1.265306122,N
SWS_FW1_23,SW_FW_1,CF,SW,FW,M,1,a,0.06022,60.22,51,75,,,1.38,0.00138,3.71,0.00371,1.779740751,,0.56937391,0.139879086,0.061607439,0.371967655,Y
SWS_FW1_53,SW_FW_1,CF,SW,FW,M,1,b,0.05589,55.89,50,69,,,1.45,0.00145,2.83,0.00283,1.74733411,,0.451786436,0.161368002,0.050635176,0.512367491,Y
SWS_FW1_49,SW_FW_1,CF,SW,FW,M,1,c,0.06166,61.66,50,71,,,2.35,0.00235,3.37,0.00337,1.79000352,,0.527629901,0.371067862,0.054654557,0.697329377,Y
SWS_FW1_30,SW_FW_1,CF,SW,FW,M,1,d,0.06772,67.72,53,78,,,1.25,0.00125,3.76,0.00376,1.830716949,,0.575187845,0.096910013,0.055522741,0.332446809,Y
SWS_FW1_33,SW_FW_1,CF,SW,FW,M,1,e,0.07334,73.34,53,79,,,2.53,0.00253,3.6,0.0036,1.865340906,,0.556302501,0.403120521,0.049086447,0.702777778,Y
SWS_FW1_16,SW_FW_1,CF,SW,FW,M,1,f,0.06867,68.67,52,74,,,2.54,0.00254,2.97,0.00297,1.836767047,,0.472756449,0.404833717,0.043250328,0.855218855,Y
SWS_FW1_13,SW_FW_1,CF,SW,FW,M,1,g,0.0583,58.3,51,73,,,2.3,0.0023,2.75,0.00275,1.765668555,,0.439332694,0.361727836,0.047169811,0.836363636,Y
SWS_FW1_68,SW_FW_1,CF,SW,FW,M,1,h,0.04978,49.78,47,64,,,0.99,0.00099,2.11,0.00211,1.697054892,,0.324282455,-0.004364805,0.042386501,0.469194313,Y
SWS_FW1_24,SW_FW_1,CF,SW,FW,M,1,j,0.06669,66.69,53,73,,,2.44,0.00244,2.55,0.00255,1.824060717,,0.40654018,0.387389826,0.038236617,0.956862745,Y
SWS_FW1_11,SW_FW_1,CF,SW,FW,M,1,k,0.06371,63.71,53,74,,,2.22,0.00222,2.92,0.00292,1.804207605,,0.465382851,0.346352974,0.045832679,0.760273973,Y
SWS_FW1_55,SW_FW_1,CF,SW,FW,M,1,l,0.07064,70.64,50,69,,,1.64,0.00164,1.31,0.00131,1.849050691,,0.117271296,0.214843848,0.018544734,1.251908397,Y
SWS_FW3_05,SW_FW_3,CF,SW,FW,M,3,a,0.06066,60.66,49,68,,,2.87,0.00287,0.89,0.00089,1.782902406,,-0.050609993,0.457881897,0.014671942,3.224719101,Y
SWS_FW3_08,SW_FW_3,CF,SW,FW,M,3,b,0.05914,59.14,55,77,,,3.98,0.00398,1.39,0.00139,1.77188132,,0.1430148,0.599883072,0.023503551,2.863309353,Y
SWS_FW3_12,SW_FW_3,CF,SW,FW,M,3,c,0.0602,60.2,50,73,,,3.6,0.0036,2.01,0.00201,1.779596491,,0.303196057,0.556302501,0.033388704,1.791044776,Y
SWS_FW3_14,SW_FW_3,CF,SW,FW,M,3,d,0.05967,59.67,49,70,,,3.22,0.00322,1.37,0.00137,1.775756038,,0.136720567,0.507855872,0.022959611,2.350364964,Y
SWS_FW3_27,SW_FW_3,CF,SW,FW,M,3,e,0.05743,57.43,50,72,,,4.02,0.00402,2.31,0.00231,1.759138816,,0.36361198,0.604226053,0.04022288,1.74025974,Y
SWS_FW3_32,SW_FW_3,CF,SW,FW,M,3,f,0.04231,42.31,48,66,,,2.38,0.00238,1.54,0.00154,1.626443025,,0.187520721,0.376576957,0.036398015,1.545454545,Y
SWS_FW3_33,SW_FW_3,CF,SW,FW,M,3,g,0.06816,68.16,52,73,,,3.95,0.00395,1.61,0.00161,1.833529582,,0.206825876,0.596597096,0.023620892,2.453416149,Y
SWS_FW3_19,SW_FW_3,CF,SW,FW,M,3,h,0.0545,54.5,50,69,,,2.51,0.00251,0.86,0.00086,1.736396502,,-0.065501549,0.399673721,0.015779817,2.918604651,Y
